column,total_rows,missing_count,missing_pct,non_missing_count
BORE_WI_VOL,15634,9928,63.5,5706
AVG_ANNULUS_PRESS,15634,7744,49.53,7890
AVG_CHOKE_SIZE_P,15634,6715,42.95,8919
AVG_DOWNHOLE_PRESSURE,15634,6654,42.56,8980
AVG_DOWNHOLE_TEMPERATURE,15634,6654,42.56,8980
AVG_DP_TUBING,15634,6654,42.56,8980
AVG_WHT_P,15634,6488,41.5,9146
AVG_WHP_P,15634,6479,41.44,9155
BORE_WAT_VOL,15634,6473,41.4,9161
BORE_GAS_VOL,15634,6473,41.4,9161
BORE_OIL_VOL,15634,6473,41.4,9161
AVG_CHOKE_UOM,15634,6473,41.4,9161
DP_CHOKE_SIZE,15634,294,1.88,15340
ON_STREAM_HRS,15634,285,1.82,15349
FLOW_KIND,15634,0,0.0,15634
DATEPRD,15634,0,0.0,15634
WELL_BORE_CODE,15634,0,0.0,15634
NPD_FACILITY_NAME,15634,0,0.0,15634
NPD_FACILITY_CODE,15634,0,0.0,15634
NPD_FIELD_NAME,15634,0,0.0,15634
NPD_FIELD_CODE,15634,0,0.0,15634
NPD_WELL_BORE_NAME,15634,0,0.0,15634
NPD_WELL_BORE_CODE,15634,0,0.0,15634
WELL_TYPE,15634,0,0.0,15634
