column,count,missing_count,min,median,mean,max,zero_count,negative_count
ON_STREAM_HRS,15349,285,0.0,24.0,19.994093477750994,25.0,1952,0
AVG_DOWNHOLE_PRESSURE,8980,6654,0.0,232.89693854166666,181.80386874557288,397.58855,2312,0
AVG_DOWNHOLE_TEMPERATURE,8980,6654,0.0,103.18668916666667,77.16296929961709,108.50217791666667,2312,0
AVG_DP_TUBING,8980,6654,0.0,175.58886135416668,154.02878674460212,345.90677,188,0
AVG_ANNULUS_PRESS,7890,7744,0.0,16.308598229166666,14.85610025789361,30.019828125,1204,0
AVG_CHOKE_SIZE_P,8919,6715,0.0,52.09687666666667,55.16853342029554,100.0,227,0
AVG_WHP_P,9155,6479,0.0,37.933619791666665,45.37781073407219,137.31103,279,0
AVG_WHT_P,9146,6488,0.0,80.07125041666666,67.7284402118993,93.50958395833334,302,0
DP_CHOKE_SIZE,15340,294,0.0,2.3849690137411343,11.441059779520824,125.71857,6242,0
BORE_OIL_VOL,9161,6473,0.0,557.55,1095.6315478659535,5901.84,1153,0
BORE_GAS_VOL,9161,6473,0.0,87749.66,161049.05970308915,851131.52,1150,0
BORE_WAT_VOL,9161,6473,-457.84,1097.79,1672.1513317323438,8019.74,1526,4
BORE_WI_VOL,5706,9928,0.0,5504.7397690625,5315.480815123998,10013.6,302,0
